"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","562","Verify Multiple Navigation Clicks","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","515","Verify weather the add cart button is visible or not","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","67","TC07 Add to Cart","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1120","verify signup navigation","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","1206","Verify Multiple Navigation Clicks","firefox","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","743","Verify no blank products are displayed","firefox","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","1306","Verify Navigation Works After Page Refresh","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","752","verify close button in the contact form is enable or not","firefox","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","619","verify the creditcard field in the order page is visible or not","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","2926","verify weather the product price is displayed correctly or not on cart","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","2561","testing weather logout is visible or not","webkit","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","2267","verify weather user can able to deltet product or not in cart","firefox","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","192","TC20 Stability","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","520","verify contact message is enable or not in the contact form","chromium","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","1084","verify the creditcard field in the order page is visible or not","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1646","erify user can submit form with all valid inputs","webkit","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","1660","testing with wrong username","webkit","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","6351","verify we can delete all the products form cart","webkit","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","909","verify contact navigation","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","2848","verify the laptop discription is correct or not","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1123","verify Product Price is Displayed correctly in the homepage and the details page","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1212","verifying the total price","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1195","Verify correct product price is added","chromium","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","1094","Verify No Broken Navigation","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","555","home page load validation","webkit","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","990","validate empty form submission","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
