"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1832","validate empty form submission","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1429","verifying the processor details are same or not in both home page and details page","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","49","TC10 Place Order","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","720","verify contact name is enable or not in the contact form","firefox","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","1","verify clicking the monitors redirect to monitors page","firefox","2026-06-05","skipped","2026-06-05","verify navigation services","navigation.spec.js","",""
"","1138","verifying the internalstorage details are same or not in both homepage and details page","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","345","Verify cart is empty when no products are added","chromium","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","1951","verifying the total price","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","3597","Vlidate weather the order is placed or not","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","63","TC16 Special Characters","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","832","signup with same credentials","chromium","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","289","verify contact navigation","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","387","verify monitor category has products","chromium","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","404","verify cart navigation","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","1372","verifying missing year","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","672","verify monitor category has products","firefox","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","1385","verifying missing month","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","721","verify contact email is enable or not in the contact form","firefox","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","71","TC14 Response Time","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1577","login with wrong credentials","webkit","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","1838","testing weather welcome adm@123 username is visible or not","firefox","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","2790","Verify Modal login Does Not affect Navigation","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","2804","verify weather the product is add to the cart or not","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","507","verify product description when we click a product.","firefox","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","855","testing with wrong username","chromium","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","473","verify contact email is enable or not in the contact form","chromium","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","515","verify contact name is enable or not in the contact form","chromium","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","587","verify the city field in the order page is visible or not","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","688","Verify each product on home webpage displays product price","webkit","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","425","Verify Navigation Using Keyboard (Accessibility)","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","1144","Verifying the image in the home page is same as the image in the details page","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1366","Verify category switching works properly","webkit","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","2162","Verify cart page loads successfully","webkit","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","1366","verify contact name is enable or not in the contact form","webkit","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","136","TC02 Signup Existing User","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1468","Verify user can add a product to the cart","webkit","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","76","TC04 Empty Password Signup","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","2172","verify close button works or not","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","3248","verify the laptop discription is correct or not","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1118","verify weather the product name is correctly displayed in homepage and the details","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","70","TC03 Empty Username Signup","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","3703","Verify multiple different products can be added","chromium","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","1591","verify the country field in the order page is visible or not","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","2103","testing log out","firefox","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","2744","users can able to click the purchace button after filling","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1464","Verify success message appears after adding item","webkit","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","1407","verigying the RAM details are same or not in both home page and details page","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","937","verify close button works or not","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","516","Verify navigation from cart to home","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","1549","users can able to click the purchace button after filling","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","2279","users can able to click the purchace button after filling","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","813","verify weather the product name is correctly displayed in homepage and the details","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","831","Verify alert contains thanks message","chromium","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","2299","Verify user can delete product from cart and verify cart were updated","firefox","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","1255","verify clicking the monitors redirect to monitors page","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","64","TC09 Delete Item","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","665","Verify All Navbar Links Visible","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","5631","Verify Navigation Using Keyboard (Accessibility)","firefox","2026-06-05","failed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","687","verify weather the product details page is loaded correctly or not","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","2697","Verify correct product name is added","webkit","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","841","testing with empty password","chromium","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","818","verify weather the monitor description is visible or not","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","738","verifying the internalstorage details are same or not in both homepage and details page","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1118","verify second close button is enable or not","webkit","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","78","TC18 Status Code Check","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1144","verify monitor category has products","webkit","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","1383","Verify Clicking Logo Redirects to Home","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","66","TC14 Response Time","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","143","TC05 Login Valid User","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","57","TC10 Place Order","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1864","verify weather the monitor description is visible or not","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1298","Verify correct product name is added","chromium","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","1328","verify weather the user is able to fill the data in order form","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1719","Verify alert contains thanks message","webkit","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","1153","testing weather logout is visible or not","chromium","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","237","TC11 Verify Login Token","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1157","verify about us navigation","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","475","Verify Navigation Link Clickable","firefox","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","554","verify clicking the monitors redirect to monitors page","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","6539","verify we can delete all the products form cart","firefox","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","5952","Verify multiple different products can be added","webkit","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","1417","Verify navigation from cart to home","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","63","TC18 Status Code Check","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1534","verify weather addtocart in the details tab is there or not","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","783","verify Product Price is Displayed correctly in the homepage and the details page","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1756","testing log out","chromium","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","90","TC06 Invalid Login","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1184","verify contact email is enable or not in the contact form","webkit","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","568","Verify category switching works properly","chromium","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","1505","verify the city field in the order page is visible or not","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1420","erify user can submit form with all valid inputs","firefox","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","2256","verify weather the user is able to fill the data in order form","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1462","Verify form resets after successful submission","firefox","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","204","TC11 Verify Login Token","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1233","signup with same credentials","firefox","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","406","Verify no blank products are displayed","chromium","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","1721","signup with same credentials","webkit","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","1430","verify weather product name is visible or not","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","963","erify user can submit form with all valid inputs","chromium","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","79","TC17 JSON Response","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","583","verifying weather about us details are visible or not","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1196","testing with empty user and password","firefox","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","1202","verify contact link is enable or not","webkit","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","2027","Verify correct product name is added","firefox","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","1589","Verify form resets after successful submission","webkit","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","61","TC15 Content Type","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","813","verify contact link is enable or not","firefox","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","436","testing weather signup is visible or not","firefox","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","1622","testing with correct credentials","chromium","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","1802","testing with empty password","webkit","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","63","TC08 View Cart","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1594","verify weather the year field in the order form is visible or not","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","709","Verify Phones Category has products","firefox","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","739","verifying the processor details are same or not in both home page and details page","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","2217","Verify cart page loads successfully","firefox","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","734","Verify cart is empty when no products are added","firefox","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","160","TC13 Cart without Cookie","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","175","TC19 Full Flow","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","769","verifying the core details are same or not in both home page and details page","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","247","Verify weather the add cart button is visible or not","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","1750","verifying missing country","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1129","verify contact message is enable or not in the contact form","webkit","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","682","testing weather signup is visible or not","webkit","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","1387","verify Product Price is Displayed correctly in the homepage and the details page","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","310","verify login navigation","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","1187","verify weather product name is visible or not","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","270","Verify All Navbar Links Visible","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","705","Verify No Broken Navigation","firefox","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","62","TC13 Cart without Cookie","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1795","verifying missing year","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","2003","Vlidate weather the order is placed or not","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1400","validate empty form submission","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1679","Verify Home Navigation","firefox","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","1856","Verify Multiple Navigation Clicks","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","1210","Verify Home Navigation","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","1506","verify all the name field in the order page are visible","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","92","TC03 Empty Username Signup","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1872","verify weather name only filled in the form","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","78","TC18 Status Code Check","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1194","verify cart navigation","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","2412","verify the laptop discription is correct or not","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","62","TC14 Response Time","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","173","TC19 Full Flow","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","84","TC06 Invalid Login","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1399","verifying the core details are same or not in both home page and details page","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","125","TC05 Login Valid User","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","663","verify signup navigation","firefox","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","63","TC15 Content Type","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1456","Verifying the image in the home page is same as the image in the details page","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","696","Verify laptop Category has products","firefox","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","65","TC15 Content Type","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","722","verify weather product name is visible or not","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","68","TC07 Add to Cart","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1722","verify weather the product details page is loaded correctly or not","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","244","testing weather signup is visible or not","chromium","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","1496","Verify user can delete product from cart and verify cart were updated","chromium","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","952","verify login navigation","webkit","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","492","Verify each product displays product name","firefox","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","48","TC10 Place Order","firefox","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","734","Verify success message appears after adding item","chromium","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","985","Verify form resets after successful submission","chromium","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","1324","verify weather user can able to deltet product or not in cart","chromium","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","4839","verify we can delete all the products form cart","chromium","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","937","verifying missing year","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","420","Verify Home Navigation","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","728","Verify user can add a product to the cart","chromium","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","1275","verifying the internalstorage details are same or not in both homepage and details page","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","505","home page load validation","firefox","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","441","Verify each product on home webpage displays product price","firefox","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","1182","verify the city field in the order page is visible or not","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","431","Verify all product categories are displayed","chromium","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","1834","testing with correct credentials","firefox","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","1172","Password Field Masking","firefox","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","1096","verify the country field in the order page is visible or not","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","3267","Vlidate weather the order is placed or not","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1125","Verify no blank products are displayed","webkit","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","125","TC02 Signup Existing User","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1114","verifying the processor details are same or not in both home page and details page","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","2886","Verify user can delete product from cart and verify cart were updated","webkit","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","1285","verify weather the monitor description is visible or not","firefox","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","628","verify login navigation","firefox","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","2123","Verify cart page loads successfully","chromium","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","272","Verify Navigation Link Clickable","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","617","verify weather the month field in the order form is visible or not","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","573","Verify each product displays product name","webkit","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","1238","login with wrong credentials","firefox","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","1271","Verify alert contains thanks message","firefox","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","338","verify about us navigation","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","89","TC06 Invalid Login","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","64","TC04 Empty Password Signup","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1558","testing with empty username","webkit","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","2449","testing weather welcome adm@123 username is visible or not","webkit","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","117","TC05 Login Valid User","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","958","verifying missing country","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","621","verify product description when we click a product.","webkit","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","647","verify the country field in the order page is visible or not","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","769","verify weather addtocart in the details tab is there or not","chromium","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","812","verify contact message is enable or not in the contact form","firefox","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","1564","testing with wrong password","webkit","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","551","verify clicking the laptops redirect to laptops page","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","616","TC01 Signup Valid User","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","955","verifying missing month","chromium","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1763","testing with empty user and password","webkit","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
"","535","verify clicking the phones redirect to phones page","chromium","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","1451","verify the creditcard field in the order page is visible or not","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1515","verifying missing card details","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1742","verifying missing month","webkit","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","1160","verify weather the month field in the order form is visible or not","firefox","2026-06-05","passed","2026-06-05","verifying checkout services","checkout.spec.js","",""
"","70","TC13 Cart without Cookie","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","518","verify contact link is enable or not","chromium","2026-06-05","passed","2026-06-05","verifying support or contact services","support-addon.spec.js","",""
"","3509","verify weather the product price is displayed correctly or not on cart","webkit","2026-06-05","passed","2026-06-05","product details service","productdetails.spec.js","",""
"","475","Verify Phones Category has products","chromium","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","1012","Verify Clicking Logo Redirects to Home","firefox","2026-06-05","passed","2026-06-05","verify navigation services","navigation.spec.js","",""
"","193","TC20 Stability","webkit","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","1087","Verify user can add a product to the cart","firefox","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","5039","Verify multiple different products can be added","firefox","2026-06-05","passed","2026-06-05","verify shopping cart","shoppingcart.spec.js","",""
"","468","Verify laptop Category has products","chromium","2026-06-05","passed","2026-06-05","testing catalog products","catalog.spec.js","",""
"","583","TC04 Empty Password Signup","chromium","2026-06-05","passed","2026-06-05","","api-addon.spec.js","",""
"","888","testing with empty user and password","chromium","2026-06-05","passed","2026-06-05","signup","login.spec.js","",""
